가수명,곡명,음원순위,초동음반,뮤비조회,스포티파이 월간청취자 수 (만명),소속 그룹,활동상태
JAYB, Layback,1000위 밖,36700장,505만 (3주차),32.0,갓세븐,
이진혁 ,Relax,1000위 밖,38260장,17만회 (3주차),0.0,업텐션,
이기광 ,Predator,562,28000장,63만 (3주차),2.0,하이라이트,
레오 ,Losing game,1000위 밖,25300장,978만 (3주차),1.0,VIXX,
박우진 ,Cool & Hot,1000위 밖,12900장,320만 (3주차),2.0,AB6IX,
이은상 ,Lemonade,822,9000장,294만 (3주차),1.0,"유나이트, 엑스원",
박경 ,새로고침,44,1300장,12만 (3주차),11.0,블락비,
임영민, LOVE?,1000위밖,20110장,408만회 (3주차),0.0,AB6IX,
김재환 ,나만큼,1000위 밖,28000장,616만 (3주차),16.0,워너원,
인성 ,Mute is Off,1000위 밖,30940장,242만 (3주차),6.0,SF9,
장우영, Think too much,1000위 밖,5610장,642만 (3주차),6.0,2PM,
하성운 ,Blessed,1000위 밖,35290장,316만 (3주차),98.0,"워너원, 핫샷",
B.I ,DIE FOR LOVE,817,17900장,53만 (3주차),102.0,아이콘,
려욱 ,Runaway,1000위 밖,26700장,16만 (3주차),11.0,슈퍼주니어,
하현상 ,시간과 흔적,276,20500장,10만 (3주차),20.0,호피폴라,
도한세,Take over,1000위 밖,6200장,596만 (3주차),0.0,빅톤,
이승협 ,클리커,1000위 밖,37300장,217만 (3주차),4.0,엔플라잉,
준호 ,FLASHLIGHT,998,12300장,87만  (3주차),17.0,2PM,
렌 ,Ready to move,1000위 밖,15100장,283만 (3주차),0.0,뉴이스트,
은혁 ,UN N DOWN,1000위 밖,88000장,60만 (3주차),6.0,슈퍼주니어,
BOBBY ,무중력,617위,5800장,137만 (3주차),23.0,아이콘,
서은광 ,Greatest Moment,1000위 밖,41340장,242만 (3주차),4.0,비투비,
방예담 ,O-HE,999위,7940장,110만 (3주차),22.0,트레저,
임현식 ,고독한 바다,406위,19085장,13만회 (3주차),20.0,비투비,
주헌 ,STING,1000위 밖,9200장,163만 (3주차),21.0,몬스타엑스,
예성 ,It's complicated ,1000위밖,58200장,39만회 (3주차),12.0,슈퍼주니어,
김우진 ,I Like The Way,1000위밖,5000장,163만 (3주차),11.0,스트레이키즈,
,,,,,,,
김진환 ,OBEY,1000위 밖,18900장,175만 (3주차),1.0,아이콘,
이민혁 ,Icy & Spicy,1000위 밖,9100장,133만 (2주차),5.0,비투비,
엘 ,어떻게 널 사랑하지 않겠니,893위,45850장,11만 (3주차),1.0,인피니트,
