그룹명,곡명,음원순위,초동음반,뮤비조회(3주이상),스포티파이 월간청취자 수 (만명),소속사,데뷔년도,활동상태
엔플라잉 (N.Flying),환절기,228위,101900장 (커리어하이),475만 (3주차),55.0,FNC,2015.0,
인피니트 (INFINITE),Dangerous,254위,151000장,1032만 (3주차),41.0,울림,2010.0,
비투비 (BTOB),LOVE TODAY,129위,55600장,370만 (3주차),73.0,비투비컴퍼니 (디오디),2012.0,
킥플립 (KickFlip),눈에 거슬리고 싶어,536위,456100장 (커리어하이),1389만 (3주차),88.0,JYP,2025.0,
AHOF (아홉),피노키오는 거짓말을 싫어해,1000위 밖,389900장,4140만 (3주차),20.0,F&F,2025.0,
NEXZ ,Mmchk,1000위 밖,444700장 (커리어하이),4173만 (3주차),97.0,JYP,2023.0,
싸이커스 (Xikers),Okay,1000위 밖,364100장 (커리어하이),1048만 (3주차),48.0,KQ,2023.0,
idntt ,Pretty Boy Swag,1000위 밖,431300장 (커리어하이),2876만 (3주차),37.0,모드하우스,2025.0,
CLOSE YOUR EYES,POSE,1000위 밖,570000장 (커리어하이),270만 (3주차),80.0,언코어 (JTBC),2025.0,
WayV,BIG BANDS,1000위 밖,299700장,258만 (3주차),106.0,SM,2019.0,
Xdinary Heros,Voyager,825위,151000장 (커리어하이),736만 (3주차),105.0,JYP,2021.0,
동방신기 ,Rebel,836위,74600장,1216만회 (3주차),68.0,SM (카카오),2003.0,
XLOV,SERVE,1000위 밖,224200장 (커리어하이),379만 (3주차),219.0,WM (RBW),2025.0,
씨엔블루 (CNBLUE),Killer Joy,419위,29170장,737만 (3주차),55.0,FNC,2010.0,
82MAJOR ,Sign,1000위 밖,120300장 (커리어하이),680만 (3주차),56.0,그레이트엠,2023.0,
CRAVITY (크래비티),AWAKE,1000위 밖,260000장,329만 (3주차),32.0,스타쉽 (카카오),2020.0,
루시 (LUCY),사랑은 어쩌고,268위,59000장,149만 (3주차),29.0,미스틱스토리 (SM (카카오)),2020.0,
ALL(H)OURS,DEAD MAN WALKING,1000위밖,105100장 (커리어하이),1336만 (3주차),34.0,이든 (JYP),2024.0,
IDID ,FLY!,1000위 밖,441520장 (커리어하이),865만 (3주차),19.0,스타쉽,2025.0,
VERIVERY,RED (Beggin'),1000위 밖 ,154200장,1017만 (3주차),15.0,젤리피쉬,2019.0,
앰퍼샌드원 (Ampers&One),GOD,1000위 밖,152000장 (커리어하이),632만 (3주차),22.0,FNC,2023.0,
NouerA ,POP IT LIKE,1000위 밖,242600장 (커리어하이),1029만 (3주차),7.0,누아,2025.0,
EVNNE,뱉어,1000위 밖,147900장,737만 (3주차),28.0,젤리피쉬,2023.0,
EPEX ,눈물나게 고마워,1000위 밖,110490장,1414만 (3주차),8.0,C9,2021.0,
빅스 (VIXX),Amnesia,607위,47000장,547만회 (3주차),28.0,젤리피쉬,2012.0,
FLARE U,WAY 2 U,1000위 밖,186600장,560만 (3주차),11.0,FNC,2026.0,
TUNEXX (튜넥스),내가 살아있다는 증거,1000위 밖,73860장 (커리어하이),2359만 (3주차),6.0,IST,2026.0,
YOUNITE, POSE!,1000위 밖,80600장,514만 (3주차),6.0,브랜뉴뮤직,2022.0,
SF9 ,LOVE RACE,1000위 밖,104600장,301만 (3주차),26.0,FNC,2016.0,
KEYVITUP (키빗업), KEYVITUP,1000위 밖,84800장 (커리어하이),721만 (3주차),14.0,인코드,2026.0,
MODYSSEY (모디세이),HOOK,1000위 밖,302000장,45만 (3주차),27.0,ONECEAD (JYP + CJENM),2026.0,
WHIB ,ROCK THE NATION,1000위 밖,72000장 (커리어하이),1042만 (3주차),11.0,씨제스,2023.0,
블리처스 ,SUPERPOWER,1000위 밖,67700장,1478만 (3주차),4.0,우조엔터테인먼트,2021.0,
VANNER,Automatic,1000위밖,142600장,602만회 (3주차),1.0,클랩 (NC),2019.0,
LUN8 ,Lost,1000위 밖,81500장,1322만 (3주차),4.0,판타지오,2023.0,
The Rose,Sour,1000위밖,7400장,949만회 (3주차),128.0,제이앤스타,2017.0,
NOWZ ,HomeRUN,1000위 밖,111700장,265만 (3주차),11.0,큐브,2024.0,
FTISLAND,BURN IT / Serious,184위,19720장,87만회 (3주차),25.0,FNC,2007.0,
AxMxP ,PASS,1000위 밖,86230장 (커리어하이),370만 (3주차),14.0,FNC,2025.0,
TNX ,CALL ME BACK,1000위 밖,21230장,1102만 (3주차),20.0,PNATION,2022.0,
ONEPACT,SANE,1000위밖,55300장,315만 (3주차),13.0,ARMADA,2023.0,
ARrC ,SKID,1000위 밖,63110장,880만 (3주차),5.0,미스틱,2024.0,
드리핀,Weekend,1000위 밖 ,193700장,388만 (3주차),2.0,울림,2020.0,
NAZE ,People Talk,1000위 밖,130000장,409만 (3주차),3.0,C9,2026.0,
원어스 (ONEUS),Grenade,1000위 밖,16600장,108만 (3주차),51.0,비웨이브,2019.0,
DAILY:DIRECTION ,ROOMBADOOMBA,1000위 밖,23400장,514만 (3주차),10.0,ODDWAVE,2026.0,
Ambio ,SHOWTIME,1000위 밖,10200장 (커리어하이),515만 (3주차),1.0,E엔터,2026.0,
차동협 ,두근대,1000위 밖,52600장,308만 (3주차),2.0,울림,2026.0,
AB6IX ,BOTTOMS UP,1000위밖,32900장,407만 (3주차),20.0,브랜뉴뮤직,2019.0,
TREND Z,카멜레온,1000위밖,41800장,9만 (3주차),3.0,글로벌에이치미디어,2022.0,
오메가엑스 (OMEGA X),JUNK FOOD,1000위 밖,84400장,337만회 (3주차),9.0,IPQ,2021.0,
위아이 (WEi),HOME,1000위 밖,53800장,783만 (3주차),7.0,위엔터테인먼트,2020.0,
템페스트 (TEMPEST), 어둠 속에서,1000위 밖,55200장,364만 (3주차),6.0,YH,2022.0,
온앤오프 (ONF), Put It Back,594위,27500장,14만 (3주차),15.0,케이아이,2017.0,
8TRUN (에잇턴),BRUISE(불씨),1000위밖,47200장,305만 (3주차),30.0,MNH,2023.0,
POW (파우),Come True,1000위 밖,34600장,254만 (3주차),13.0,GRID,2023.0,
엔싸인 (n.SSign),Funky like me,1000위밖,81800장,101만 (3주차),4.0,n.CH (엔씨에이치),2023.0,
틴탑 ,Cherry Pie,1000위 밖,14400장,339만 (3주차),18.0,티오피,2010.0,
NEWBEAT, Look So Good,1000위 밖,22350장,513만 (3주차),9.0,비트인터렉티브,2025.0,
하츠웨이브, NINETEEN,1000위 밖,26600장 (커리어하이),292만 (3주차),4.0,카카오,2026.0,
엘라스트 ,Crazy Train,1000위 밖,12720장,492만 (3주차),3.0,E엔터,2020.0,
TIOT ,MY PRIDE,1000위밖,35160장,9.3만 (3주차),3.0,레드스타트이엔엠,2024.0,
B1A4 ,가위바위보,970위,9500장,24만 (3주차),22.0,B1A4컴퍼니,2011.0,
JUST B,True Heart,1000위 밖,1625장,105만 (3주차),16.0,블루닷엔터테인먼트,2021.0,
더킹덤 (The KingDom),Flip that coin,1000위 밖,19100장,365만 (3주차),4.0,GF,2021.0,
루미너스 ,Engine,1000위밖,???,1148만회 (3주차),1.0,바른손더블유아이피,2021.0,
MCND ,X10,1000위 밖 ,38180장,357만 (3주차),7.0,티오피,2020.0,
호피폴라, 너의 바다,398위,2700장,26만회 (3주차),4.0,인넥스트트렌드,2019.0,
BAE173 ,Turned Up,1000위 밖,55500장,3만 (3주차),3.0,포켓돌스튜디오,2020.0,
다크비 (DKB),Irony,1000위 밖,22000장,165만 (3주차),5.0,브레이브,2020.0,
세븐어스 ,Airplane mode,1000위 밖,9200장,54만 (3주차),0.0,PCS엔터,2023.0,
FANTASY BOYS,Undeniable,1000위 밖,59350장,13만 (3주차),2.0,포켓돌,2023.0,
XODIAC ,Phantom Fire,1000위 밖,???,87만 (3주차),12.0,잭소,2023.0,
방정유문 (B.A.P),Gone,1000위 밖,89680장,54만 (3주차),1.0,MA,2024.0,
세븐투에잇 ,DRIP&DROP,1000위 밖,1170장,794만 (3주차),5.0,TEN,2025.0,
YUHZ ,Rush Rush,1000위 밖,19700장,166만 (3주차),2.0,피나클,2026.0,
24K+ ,롤러코스터,1000위 밖,363장,16만회 (3주차),2.0,조은,2023.0,
TAN ,HYPERTONIC,1000위 밖,5432장,11만회 (3주차),2.0,생각,2022.0,
원위 ,ICARUS,1000위밖,13400장,121만 (3주차),16.0,RBW,2019.0,
더윈드 ,Only One,1000위 밖,14300장,220만 (3주차),8.0,어라운드어스,2023.0,
고스트나인 ,ROCKUS,1000위밖,6000장,236만회 (3주차),3.0,마루기획,2020.0,
하이파이유니콘 ,Over the rainbow,1000위밖,XXX,229만회 (3주차),9.0,FNC,2023.0,
HAWW ,How Are You,1000위 밖,800장,128만회 (3주차),0.0,비스킷,2023.0,
캐치더영 ,Dream It,1000위 밖,755장,123만 (3주차),2.0,에버모어,2023.0,
다이몬 ,SSS,1000위밖,XXX,75만 (3주차),4.0,SSQ,2024.0,
BXB ,Planet,1000위 밖,10200장,2만회 (3주차),0.0,울프번,2023.0,
인어미닛 ,Broken Doll,1000위 밖,19700장,178만 (3주차),1.0,엠오엠,2025.0,
이스트샤인 ,Lucky Tonight,1000위 밖,585장,54만회 (3주차),0.0,티엠,2023.0,
어센트 ,Still Rose,1000위 밖,42110장,184만 (3주차),3.0,뉴웨이즈,2024.0,
비보이즈 ,슬램덩크,1000위 밖,12840장 (커리어하이),41만 (3주차),0.0,오크컴퍼니,2025.0,
웨이커 ,Like THAT,1000위 밖,12230장 (커리어하이),54만 (3주차),3.0,하울링,2024.0,
에이블루 ,MAD,1000위 밖,XXX,1만회 (3주차),0.0,제이스타,2022.0,
제이위버 ,Jtrap,1000위 밖,,7만회 (3주차),0.0,스타위브,2022.0,
NTX ,ICE LUV,1000위 밖,10960장,3.3만 (3주차),3.0,빅토리컴퍼니,2021.0,
슈퍼카인드 ,MOODY,1000위 밖,XXX,33만회 (3주차),1.0,딥스튜디오,2022.0,
엔카이브 ,Racer,1000위 밖,4200장,55만 (3주차),0.0,하울링,2024.0,
QQQ ,UNCOOL,1000위 밖,11200장,4만 (3주차),1.0,,2026.0,
CHASER ,INVINCIBLE,1000위 밖,400장,1만 (3주차),0.0,하울링,2026.0,
몬트, Keep It Slow,1000위 밖,XXX,3만 (3주차),2.0,FM,2019.0,
비디유 ,My One,1000위 밖,9500장,17만 (3주차),0.0,오르카뮤직,2024.0,
노매드, Call Me Back,1000위 밖,11350장,102만 (3주차),1.0,노매드,2024.0,
피커스 ,어린왕자,1000위 밖,17장,66만회 (3주차),0.0,TNK,2024.0,
청공소년 ,OUT LAW,1000위밖,110장,1.9만회 (3주차),0.0,크롬,2019.0,
드래곤포니 ,아 마음대로 다 된다,1000위 밖,9000장 (커리어하이),340만 (3주차),7.0,안테나,2024.0,
디그니티 ,SLIPSHOT,1000위 밖,5800장 (커리어하이),1.5만 (3주차),0.0,PCS엔터,2024.0,
에이머스 ,CALLED GAME,1000위 밖,7360장,2만 (3주차),1.0,하이퍼리듬,2022.0,
빅오션, One Man Army,1000위 밖,9200장,66만 (3주차),7.0,파라스타,2024.0,
쏘닉 ,Private,1000위 밖,XXX,2만 (3주차),0.0,,2025.0,
엔탑 ,Stay With U,1000위 밖,1000장,5만회 (3주차),0.0,NYH,2025.0,
AM8IC ,Link Up,1000위 밖,3080장,29만 (3주차),2.0,토브,2025.0,
V01D ,Tug of War,1000위 밖,1400장 (커리어하이),56만 (3주차),2.0,IX,2026.0,
SKINZ ,Poison Ivy,1000위 밖,26900장 (커리어하이),51만 (3주차),4.0,브릿지,2025.0,
스트리츠 ,HOPE,1000위 밖,XXX,1만 (3주차),0.0,BS 프로덕션,2026.0,
프레임더엑스 ,NO EXIT,1000위 밖,XXX,4만 (3주차),0.0,,2026.0,
크로스진 ,달랑말랑 ,1000위 밖,6000장,300만 (3주차),1.0,아뮤즈,2012.0,
